dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030545,70304801960.281128,0.014224,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030582,70221445917.171997,0.014241,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030527,70346167454.546555,0.014215,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030598,70183416094.539352,0.014248,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030564,70261832017.520340,0.014232,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030483,70448491870.461365,0.014195,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030494,70423494042.813919,0.014200,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030587,70209732298.333084,0.014243,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030505,70396968962.407364,0.014205,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030604,70170228216.400543,0.014251,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030589,70204246851.759476,0.014244,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030684,69986021246.352005,0.014289,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030573,70240182693.278214,0.014237,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030553,70288097371.941864,0.014227,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030495,70421762962.454361,0.014200,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1,0,67108864,-1,0.030575,70237404620.860779,0.014237,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030517,70371154389.701843,0.014210,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030560,70271602471.197876,0.014230,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030641,70084189228.610367,0.014269,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030637,70094508176.237991,0.014266,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030563,70264660258.115402,0.014232,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030623,70126304394.689484,0.014260,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030560,70271308616.310699,0.014231,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030559,70274431498.441116,0.014230,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030571,70246756294.935577,0.014236,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030595,70190574178.932556,0.014247,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030554,70285109290.427719,0.014228,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030540,70317118228.424667,0.014221,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030675,70006830739.873459,0.014284,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030625,70121928138.478088,0.014261,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030635,70098422753.768356,0.014266,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2,0,67108864,-1,0.030489,70433587098.786819,0.014198,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030551,70291296348.705795,0.014227,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030620,70134293999.610046,0.014258,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030598,70184557964.889771,0.014248,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030604,70169353573.899170,0.014251,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030579,70226701894.744141,0.014240,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030741,69856659932.032242,0.014315,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030700,69949775624.698883,0.014296,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030600,70179356411.966751,0.014249,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030621,70130628777.144104,0.014259,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030747,69843256610.536942,0.014318,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030707,69934055940.331390,0.014299,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030540,70316108175.937546,0.014221,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030565,70259350369.139252,0.014233,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030585,70212560724.617126,0.014242,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030605,70168395865.369400,0.014251,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,4,0,67108864,-1,0.030809,69702725918.670364,0.014347,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030585,70213567804.468140,0.014242,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030606,70165710922.396179,0.014252,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030665,70031394197.888489,0.014279,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030681,69994666432.250137,0.014287,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030943,69400892345.678482,0.014409,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030792,69741320744.419388,0.014339,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030704,69941436968.504913,0.014298,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030810,69700917901.710861,0.014347,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030775,69780844920.511490,0.014331,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030642,70083434515.750381,0.014269,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030502,70404791430.876602,0.014204,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030554,70285126840.825562,0.014228,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030556,70279954240.475433,0.014229,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030524,70354646865.298370,0.014214,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030730,69882441006.008316,0.014310,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,8,0,67108864,-1,0.030557,70277282686.577591,0.014229,0.000000,0.000032,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031861,67402353942.704224,0.014836,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031452,68278243589.347595,0.014646,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031784,67565923850.072418,0.014800,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031841,67444478067.072128,0.014827,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031344,68512459048.155876,0.014596,0.000000,0.000064,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,16,0,67108864,-1,0.031314,68578928441.370819,0.014582,0.000000,0.000064,0.000000
